sw_category_Insulin_qcut,1,2,WoE,IV
"(2.431, 3.226]",0.09615384615384616,0.125,0.2623642644674909,0.007568199936562236
"(3.226, 3.881]",0.11538461538461539,0.078125,-0.38996092157219925,0.01452979395281031
"(3.881, 4.514]",0.1346153846153846,0.0625,-0.7672551527136672,0.05533090043608176
"(4.514, 5.376]",0.1346153846153846,0.078125,-0.5441116013994574,0.03073707363674819
"(5.376, 5.924]",0.1346153846153846,0.0625,-0.7672551527136672,0.05533090043608176
"(5.924, 6.862]",0.1346153846153846,0.078125,-0.5441116013994574,0.03073707363674819
"(6.862, 9.922]",0.09615384615384616,0.09375,-0.025317807984289897,6.086011534685085e-05
"(9.922, 14.026]",0.057692307692307696,0.140625,0.8909729238898652,0.07389078335144314
"(14.026, 21.866]",0.057692307692307696,0.125,0.7731898882334817,0.05204162709263819
"(21.866, 58.46]",0.038461538461538464,0.15625,1.4017985476558559,0.165115694315233
