sw_category_MCP_1_qcut,1,2,WoE,IV
"(45.842000000000006, 198.728]",0.11538461538461539,0.09375,-0.2076393647782445,0.0044921977956831755
"(198.728, 244.75]",0.11538461538461539,0.09375,-0.2076393647782445,0.0044921977956831755
"(244.75, 313.89]",0.09615384615384616,0.09375,-0.025317807984289897,6.086011534685085e-05
"(313.89, 378.996]",0.11538461538461539,0.09375,-0.2076393647782445,0.0044921977956831755
"(378.996, 471.322]",0.057692307692307696,0.125,0.7731898882334817,0.05204162709263819
"(471.322, 572.783]",0.11538461538461539,0.09375,-0.2076393647782445,0.0044921977956831755
"(572.783, 636.655]",0.1346153846153846,0.0625,-0.7672551527136672,0.05533090043608176
"(636.655, 764.667]",0.07692307692307693,0.125,0.4855078157817008,0.02334172191258177
"(764.667, 926.053]",0.07692307692307693,0.109375,0.3519764231571782,0.011422311809187272
"(926.053, 1698.44]",0.09615384615384616,0.109375,0.12883287184296838,0.0017033192190777063
