sw_category_Resistin_qcut,1,2,WoE,IV
"(3.209, 4.516]",0.11538461538461539,0.0625,-0.6131044728864089,0.03242379423918509
"(4.516, 5.353]",0.09615384615384616,0.078125,-0.2076393647782445,0.003743498163069313
"(5.353, 6.882]",0.11538461538461539,0.046875,-0.9007865453381898,0.0617125397647558
"(6.882, 8.097]",0.11538461538461539,0.0625,-0.6131044728864089,0.03242379423918509
"(8.097, 9.926]",0.1346153846153846,0.03125,-1.4604023332736125,0.15095504887203204
"(9.926, 10.828]",0.09615384615384616,0.078125,-0.2076393647782445,0.003743498163069313
"(10.828, 12.988]",0.09615384615384616,0.078125,-0.2076393647782445,0.003743498163069313
"(12.988, 15.714]",0.019230769230769232,0.125,1.8718021769015913,0.19797907640305293
"(15.714, 17.755]",0.07692307692307693,0.09375,0.19782574332991987,0.0033287985656476893
"(17.755, 22.839]",0.07692307692307693,0.078125,0.015504186535965254,1.8634839586496634e-05
"(22.839, 27.916]",0.038461538461538464,0.125,1.1786549963416462,0.10199899006802707
"(27.916, 82.1]",0.019230769230769232,0.140625,1.989585212557975,0.24152416642831187
